ObjectID,Latitude,Longitude
31239,40.3489,-74.6575
31285,40.349866,-74.658273
31352,40.3493,-74.6575
31408,40.3477,-74.6569
31445,40.3484,-74.6621
31464,40.3483,-74.6598
31505,40.3484,-74.6578
31772,40.3491,-74.6567
31833,40.3474,-74.6572
31846,40.3466,-74.6565
31937,40.3473,-74.6573
32524,40.3483,-74.6581
44718,40.3488,-74.6569
45145,40.348823,-74.658688
45176,40.348698,-74.658646
45205,40.346976,-74.655198
45223,40.348682,-74.658511
45356,40.346000,-74.655295
45448,40.348776,-74.658548
55830,40.3448,-74.6585
30593,40.3452,-74.6517
31205,40.3451,-74.6519
31339,40.3443,-74.6593
31393,40.3455,-74.6522
31413,40.34526,-74.65198
31416,40.3407,-74.667
31481,40.3411,-74.6661
31499,40.3504,-74.6525
31575,40.3505,-74.6511
31716,40.3508,-74.6518
32092,40.35003,-74.65074
44722,40.3507,-74.6509
45158,40.3407063,-74.6645675
45158,,
45570,40.34854,-74.65475
45571,40.3487,-74.6549
45593,40.3507,-74.6508
45706,40.3409,-74.6652
54819,40.350274,-74.652014
55453,40.3434,-74.6562
55459,40.3462,-74.6519
55459,,
55813,40.3496,-74.6528
55841,40.3488,-74.6585
56305,40.3486,-74.658
57262,40.3486,-74.6566
57306,40.3489,-74.6587
57751,40.3441,-74.6558
57752,40.3499,-74.6519
57753,40.3506,-74.6521
59718,40.3441,-74.6508
60520,40.3470483,-74.6571113
61832,40.3478,-74.6562
61850,40.3443,-74.6531
62866,40.3482,-74.6605
81122,40.3435,-74.6593
86634,40.3466,-74.6517
86951,40.3488,-74.6594
86952,,
86953,40.3477,-74.6588
86954,40.3469,-74.6505
101159,40.3443,-74.6578
103470,40.3449,-74.6579
107443,40.344,-74.6489
112316,40.3496,-74.6512
127464,40.34919,-74.65515
128419,40.34910,-74.65557
134355,40.34287,-74.65934
134355,40.342974,-74.65938
136880,40.342904,-74.659489
140380,40.3426431,-74.6540633
140381,40.3423081,-74.6554349
140382,40.3414408,-74.6545719
